DDS,Mode,Lag (beginning) (ns),Lag (full strength) (ns)
2,Amplitude only,540,700
,,540,700
,,540,650
,,520,740
,,540,700
,,540,700
,,540,700
,,510,640
,,560,700
,,560,700
,,500,700
,,540,700
,,540,700
,,540,700
,,540,700
,,540,680
,,540,700
,,540,700
,,540,690
,,540,690
2,Frequency only,,1125
,,,1135
,,,1135
,,,1130
,,,1130
,,,1110
,,,1120
,,,1130
,,,1130
,,,1120
,,,1110
,,,1120
,,,1110
,,,1120
,,,1130
,,,1120
,,,1120
,,,1100
,,,1130
,,,1100
2,Phase only,,564
,,,568
,,,565
,,,560
,,,582
,,,562
,,,574
,,,570
,,,573
,,,590
,,,575
,,,586
,,,585
,,,560
,,,575
,,,575
,,,580
,,,560
,,,566
,,,571
